#AORkey pointing RA DEC object SL2 SL1 LL2 LL1
3553280 | 0 | 75.0218429565 | 25.4167766571 | F04570+2520 | 1 | 1 | 1 | 1
3554560 | 0 | 38.5939979553 | -43.7964286804 | HD 16157 | 1 | 1 | 1 | 1
3559680 | 0 | 209.137283325 | -54.7048873901 | HD 121384 | 1 | 1 | 1 | 1
3564032 | 0 | 290.745635986 | -54.5382041931 | HD 181327 | 1 | 1 | 1 | 1
3565056 | 0 | 327.06864 | -47.30823525 | DM-47 13928 | 1 | 1 | 1 | 1
3565312 | 0 | 340.653646667 | -47.2160228333 | HR 8635 | 1 | 1 | 1 | 1
3565824 | 0 | 352.845123291 | 59.1656951904 | HD 221354 | 1 | 1 | 1 | 1
3566080 | 0 | 359.396697998 | -64.2989044189 | HR 9062 | 1 | 1 | 1 | 1
3568640 | 0 | 52.2936477661 | 31.2253456116 | NGC1333-IRAS4A1 | 1 | 1 | 1 | 1
3568896 | 0 | 52.2999038696 | 31.2190093994 | NGC1333-IRAS4B | 1 | 1 | 1 | 1
3569152 | 0 | 79.5634994507 | 7.2008357048 | HH114MMS | 1 | 1 | 1 | 1
3569408 | 0 | 83.8479385376 | -5.02470827103 | OMC3-MM6 | 1 | 1 | 1 | 1
3569664 | 0 | 289.473632812 | 19.2053508759 | L723-MM | 1 | 1 | 1 | 1
3569920 | 0 | 86.3432235718 | 9.06998920441 | FU Ori | 1 | 1 | 0 | 0
3570176 | 0 | 314.723846436 | 44.2578659058 | V1057 Cyg | 1 | 1 | 0 | 0
3570432 | 0 | 305.950256348 | 42.2071418762 | V1515 Cyg | 1 | 1 | 0 | 0
3570688 | 0 | 248.13394165 | -44.9252204895 | V346 Nor | 1 | 1 | 0 | 0
3570944 | 0 | 326.835144043 | 47.5339050293 | V1735 Cyg | 1 | 1 | 0 | 0
3571200 | 0 | 117.648147583 | -33.1066551208 | BBW 76 | 1 | 1 | 1 | 1
3572480 | 0 | 172.980422974 | -34.6074256897 | TWA5A | 1 | 1 | 1 | 1
3572736 | 0 | 160.625656128 | -33.6713066101 | TWA7 | 1 | 1 | 1 | 1
3572992 | 0 | 167.307647705 | -30.0276412964 | TWA2A | 1 | 1 | 1 | 1
3573248 | 0 | 173.172393799 | -26.8654117584 | TWA8A | 1 | 1 | 1 | 1
3573504 | 0 | 177.100814819 | -37.48021698 | TWA9A | 1 | 1 | 1 | 1
3573760 | 0 | 188.76789856 | -41.6107597351 | TWA10 | 1 | 1 | 1 | 1
3574016 | 0 | 154.619720459 | -31.833984375 | TWA6 | 1 | 1 | 1 | 1
3574272 | 0 | 189.003723145 | -39.8701019287 | TWA11B | 1 | 1 | 1 | 1
3574528 | 0 | 173.171859741 | -26.8689308167 | TWA8B | 1 | 1 | 1 | 1
3574784 | 0 | 177.099411011 | -37.4804191589 | TWA9B | 1 | 1 | 1 | 1
3575808 | 0 | 56.8531570435 | 12.5082063675 | HD 23680 | 1 | 1 | 1 | 1
3577600 | 0 | 78.307800293 | -12.9413509369 | HR 1705 | 1 | 1 | 1 | 1
3586560 | 0 | 139.354629517 | -74.8944015503 | HR 3720 | 1 | 1 | 1 | 1
3587328 | 0 | 274.504150391 | -68.2292861938 | HR 6808 | 1 | 1 | 1 | 1
3590144 | 0 | 56.5122833252 | 24.5279903412 | 22 Tau | 1 | 1 | 1 | 1
3590400 | 0 | 57.4313201904 | 23.711889267 | HD 23923 | 1 | 1 | 1 | 1
3623936 | 0 | 52.8374328613 | 30.7583599091 | IRAS 03282 | 1 | 1 | 1 | 1
